Column1,Invoice_ID,Branch,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax_5%,Total,Date,Time,Payment,Rating,City,COGS,Profit
1092,362-58-8315,C,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,9.9,Naypyitaw,321.384,80.346
1159,214-17-6927,C,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2/7/2019,18:23,Ewallet,9.9,Naypyitaw,83.0592,20.7648
1185,342-65-4817,C,Member,Male,Health and beauty,86.8,3,13.02,273.42,1/28/2019,16:47,Ewallet,9.9,Naypyitaw,218.736,54.684
1669,641-51-2661,C,Member,Female,Food and beverages,87.1,10,43.55,914.55,2/12/2019,14:45,Credit card,9.9,Naypyitaw,731.64,182.91
2079,109-28-2512,B,Normal,Female,Fashion accessories,97.61,6,29.283,614.943,1/7/2019,15:01,Ewallet,9.9,Mandalay,491.9544,122.9886
2382,201-86-2184,B,Member,Female,Electronic accessories,26.26,7,9.191,193.011,2/2/2019,19:40,Cash,9.9,Mandalay,154.4088,38.6022
2394,868-52-7573,B,Normal,Female,Food and beverages,99.69,5,24.9225,523.3725,1/14/2019,12:09,Cash,9.9,Mandalay,418.698,104.6745
2663,563-47-4072,B,Normal,Female,Health and beauty,55.81,6,16.743,351.603,1/22/2019,11:52,Cash,9.9,Mandalay,281.2824,70.3206
2894,311-13-6971,B,Member,Male,Sports and travel,31.99,10,15.995,335.895,2/20/2019,15:18,Credit card,9.9,Mandalay,268.716,67.179
137,354-39-5160,A,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2/18/2019,15:39,Cash,9.8,Yangon,173.4768,43.3692
322,372-94-8041,A,Normal,Male,Health and beauty,15.26,6,4.578,96.138,2/15/2019,18:03,Ewallet,9.8,Yangon,76.9104,19.2276
505,726-29-6793,A,Member,Male,Electronic accessories,24.18,8,9.672,203.112,1/28/2019,20:54,Ewallet,9.8,Yangon,162.4896,40.6224
585,127-47-6963,A,Normal,Male,Health and beauty,51.71,4,10.342,217.182,3/9/2019,13:53,Credit card,9.8,Yangon,173.7456,43.4364
592,560-49-6611,A,Member,Female,Sports and travel,45.58,1,2.279,47.859,2/7/2019,14:13,Cash,9.8,Yangon,38.2872,9.5718
621,436-54-4512,A,Member,Female,Food and beverages,91.61,1,4.5805,96.1905,3/20/2019,19:44,Cash,9.8,Yangon,76.9524,19.2381
739,805-86-0265,A,Normal,Male,Home and lifestyle,93.96,9,42.282,887.922,3/20/2019,11:32,Cash,9.8,Yangon,710.3376,177.5844
961,324-92-3863,A,Member,Male,Electronic accessories,20.89,2,2.089,43.869,2/5/2019,18:45,Cash,9.8,Yangon,35.0952,8.7738
1208,426-39-2418,C,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,1/14/2019,10:02,Cash,9.8,Naypyitaw,361.0908,90.2727
1408,236-86-3015,C,Member,Male,Home and lifestyle,13.98,1,0.699,14.679,2/4/2019,13:38,Ewallet,9.8,Naypyitaw,11.7432,2.9358
1427,740-22-2500,C,Normal,Female,Electronic accessories,84.05,3,12.6075,264.7575,1/23/2019,13:29,Cash,9.8,Naypyitaw,211.806,52.9515
1772,801-88-0346,C,Normal,Female,Fashion accessories,76.06,3,11.409,239.589,1/5/2019,20:30,Credit card,9.8,Naypyitaw,191.6712,47.9178
1966,256-58-3609,C,Member,Male,Fashion accessories,91.98,1,4.599,96.579,3/18/2019,15:29,Cash,9.8,Naypyitaw,77.2632,19.3158
1986,728-47-9078,C,Member,Male,Food and beverages,59.59,4,11.918,250.278,1/19/2019,12:46,Cash,9.8,Naypyitaw,200.2224,50.0556
2185,608-27-6295,B,Member,Male,Electronic accessories,52.89,6,15.867,333.207,1/19/2019,17:34,Credit card,9.8,Mandalay,266.5656,66.6414
2501,627-95-3243,B,Member,Female,Home and lifestyle,77.68,9,34.956,734.076,2/4/2019,13:21,Ewallet,9.8,Mandalay,587.2608,146.8152
2528,425-85-2085,B,Member,Male,Health and beauty,54.86,5,13.715,288.015,3/29/2019,16:48,Ewallet,9.8,Mandalay,230.412,57.603
2810,359-94-5395,B,Normal,Male,Health and beauty,92.78,1,4.639,97.419,3/15/2019,10:50,Credit card,9.8,Mandalay,77.9352,19.4838
2946,501-61-1753,B,Normal,Female,Home and lifestyle,63.15,6,18.945,397.845,1/3/2019,20:24,Ewallet,9.8,Mandalay,318.276,79.569
256,366-93-0948,A,Member,Male,Electronic accessories,66.35,1,3.3175,69.6675,1/31/2019,10:46,Credit card,9.7,Yangon,55.734,13.9335
444,301-11-9629,A,Normal,Female,Sports and travel,19.1,7,6.685,140.385,1/15/2019,10:43,Cash,9.7,Yangon,112.308,28.077
471,340-21-9136,A,Member,Female,Sports and travel,40.05,4,8.01,168.21,1/25/2019,11:40,Cash,9.7,Yangon,134.568,33.642
518,220-28-1851,A,Normal,Male,Home and lifestyle,34.73,2,3.473,72.933,3/1/2019,18:14,Ewallet,9.7,Yangon,58.3464,14.5866
789,497-37-6538,A,Normal,Male,Sports and travel,58.91,7,20.6185,432.9885,1/17/2019,15:15,Ewallet,9.7,Yangon,346.3908,86.5977
846,585-90-0249,A,Member,Male,Electronic accessories,73.26,1,3.663,76.923,1/27/2019,18:08,Ewallet,9.7,Yangon,61.5384,15.3846
1212,672-51-8681,C,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,1/4/2019,18:19,Credit card,9.7,Naypyitaw,503.874,125.9685
1231,746-68-6593,C,Member,Female,Sports and travel,87.16,2,8.716,183.036,1/11/2019,14:29,Credit card,9.7,Naypyitaw,146.4288,36.6072
1233,583-72-1480,C,Member,Male,Electronic accessories,37.06,4,7.412,155.652,1/31/2019,16:24,Ewallet,9.7,Naypyitaw,124.5216,31.1304
1277,687-15-1097,C,Member,Female,Health and beauty,21.12,2,2.112,44.352,1/3/2019,19:17,Cash,9.7,Naypyitaw,35.4816,8.8704
1317,181-94-6432,C,Member,Male,Fashion accessories,69.33,2,6.933,145.593,2/5/2019,19:05,Ewallet,9.7,Naypyitaw,116.4744,29.1186
2403,173-82-9529,B,Normal,Female,Fashion accessories,37.95,10,18.975,398.475,1/26/2019,14:51,Cash,9.7,Mandalay,318.78,79.695
2564,210-57-1719,B,Normal,Female,Health and beauty,58.24,9,26.208,550.368,2/5/2019,12:34,Cash,9.7,Mandalay,440.2944,110.0736
176,175-54-2529,A,Member,Male,Food and beverages,22.17,8,8.868,186.228,3/3/2019,17:01,Credit card,9.6,Yangon,148.9824,37.2456
279,828-61-5674,A,Member,Male,Sports and travel,44.02,10,22.01,462.21,3/20/2019,19:57,Credit card,9.6,Yangon,369.768,92.442
306,286-01-5402,A,Normal,Female,Sports and travel,40.23,7,14.0805,295.6905,3/30/2019,13:22,Cash,9.6,Yangon,236.5524,59.1381
499,420-18-8989,A,Member,Female,Sports and travel,51.52,8,20.608,432.768,2/2/2019,15:47,Cash,9.6,Yangon,346.2144,86.5536
599,334-64-2006,A,Member,Female,Home and lifestyle,70.32,2,7.032,147.672,3/24/2019,14:22,Ewallet,9.6,Yangon,118.1376,29.5344
817,832-51-6761,A,Normal,Male,Food and beverages,33.88,8,13.552,284.592,1/19/2019,20:29,Ewallet,9.6,Yangon,227.6736,56.9184
1007,226-31-3081,C,Normal,Male,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,9.6,Naypyitaw,64.176,16.044
1076,393-65-2792,C,Normal,Male,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46,Credit card,9.6,Naypyitaw,751.632,187.908
1442,257-73-1380,C,Member,Male,Sports and travel,82.93,4,16.586,348.306,1/20/2019,16:51,Ewallet,9.6,Naypyitaw,278.6448,69.6612
1706,626-43-7888,C,Normal,Female,Fashion accessories,60.41,8,24.164,507.444,2/7/2019,12:23,Ewallet,9.6,Naypyitaw,405.9552,101.4888
1877,584-66-4073,C,Normal,Male,Fashion accessories,56.5,1,2.825,59.325,3/13/2019,15:45,Ewallet,9.6,Naypyitaw,47.46,11.865
2040,145-94-9061,B,Normal,Male,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,9.6,Mandalay,371.112,92.778
2388,843-01-4703,B,Member,Female,Home and lifestyle,35.38,9,15.921,334.341,1/5/2019,19:50,Credit card,9.6,Mandalay,267.4728,66.8682
2415,831-64-0259,B,Normal,Female,Fashion accessories,39.75,5,9.9375,208.6875,2/22/2019,10:43,Ewallet,9.6,Mandalay,166.95,41.7375
2445,616-87-0016,B,Normal,Male,Fashion accessories,95.54,7,33.439,702.219,3/9/2019,14:36,Credit card,9.6,Mandalay,561.7752,140.4438
2461,449-27-2918,B,Member,Female,Sports and travel,39.12,1,1.956,41.076,3/26/2019,11:02,Credit card,9.6,Mandalay,32.8608,8.2152
2789,875-31-8302,B,Normal,Male,Sports and travel,93.38,1,4.669,98.049,1/3/2019,13:07,Cash,9.6,Mandalay,78.4392,19.6098
596,152-68-2907,A,Normal,Male,Food and beverages,52.2,3,7.83,164.43,2/15/2019,13:30,Credit card,9.5,Yangon,131.544,32.886
732,756-49-0168,A,Member,Male,Fashion accessories,19.7,1,0.985,20.685,2/8/2019,11:39,Ewallet,9.5,Yangon,16.548,4.137
743,546-80-2899,A,Member,Male,Home and lifestyle,37.69,2,3.769,79.149,2/20/2019,15:29,Ewallet,9.5,Yangon,63.3192,15.8298
887,884-80-6021,A,Member,Female,Electronic accessories,73.47,10,36.735,771.435,3/23/2019,13:14,Ewallet,9.5,Yangon,617.148,154.287
968,605-03-2706,A,Normal,Female,Health and beauty,15.8,3,2.37,49.77,3/25/2019,18:02,Cash,9.5,Yangon,39.816,9.954
1056,326-78-5178,C,Normal,Male,Food and beverages,91.4,7,31.99,671.79,2/3/2019,10:19,Cash,9.5,Naypyitaw,537.432,134.358
1120,237-01-6122,C,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2/1/2019,20:31,Credit card,9.5,Naypyitaw,610.7724,152.6931
1151,458-41-1477,C,Normal,Female,Health and beauty,46.26,6,13.878,291.438,3/8/2019,17:11,Credit card,9.5,Naypyitaw,233.1504,58.2876
1293,226-71-3580,C,Normal,Female,Sports and travel,23.75,9,10.6875,224.4375,1/31/2019,12:02,Cash,9.5,Naypyitaw,179.55,44.8875
1344,633-09-3463,C,Normal,Female,Electronic accessories,47.65,3,7.1475,150.0975,3/28/2019,12:58,Credit card,9.5,Naypyitaw,120.078,30.0195
1394,394-41-0748,C,Member,Female,Fashion accessories,54.07,9,24.3315,510.9615,1/27/2019,14:55,Ewallet,9.5,Naypyitaw,408.7692,102.1923
1449,192-98-7397,C,Normal,Male,Fashion accessories,12.78,1,0.639,13.419,1/8/2019,14:11,Ewallet,9.5,Naypyitaw,10.7352,2.6838
1699,196-01-2849,C,Member,Female,Fashion accessories,73.38,7,25.683,539.343,2/10/2019,13:56,Cash,9.5,Naypyitaw,431.4744,107.8686
1887,115-38-7388,C,Member,Female,Fashion accessories,10.18,8,-4.072,85.512,3/30/2019,12:51,Credit card,9.5,Naypyitaw,68.4096,17.1024
1937,756-93-1854,C,Member,Female,Fashion accessories,83.35,2,8.335,175.035,2/2/2019,14:05,Credit card,9.5,Naypyitaw,140.028,35.007
2057,132-32-9879,B,Normal,Male,Electronic accessories,93.96,4,18.792,394.632,3/9/2019,18:00,Cash,9.5,Mandalay,315.7056,78.9264
2279,571-94-0759,B,Member,Female,Food and beverages,74.6,10,37.3,783.3,1/8/2019,20:55,Cash,9.5,Mandalay,626.64,156.66
2457,390-80-5128,B,Member,Female,Health and beauty,19.15,1,0.9575,20.1075,1/28/2019,17:58,Credit card,9.5,Mandalay,16.086,4.0215
2516,511-54-3087,B,Normal,Male,Sports and travel,88.45,1,4.4225,92.8725,2/25/2019,16:36,Credit card,9.5,Mandalay,74.298,18.5745
2568,198-66-9832,B,Member,Female,Fashion accessories,72.04,2,7.204,151.284,2/4/2019,19:38,Cash,9.5,Mandalay,121.0272,30.2568
2595,359-90-3665,B,Member,Female,Fashion accessories,18.08,4,3.616,75.936,1/14/2019,18:03,Credit card,9.5,Mandalay,60.7488,15.1872
2843,636-17-0325,B,Normal,Male,Health and beauty,62.57,4,12.514,262.794,2/25/2019,18:37,Cash,9.5,Mandalay,210.2352,52.5588
74,287-21-9091,A,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,9.4,Yangon,564.5052,141.1263
324,746-54-5508,A,Normal,Male,Home and lifestyle,21.52,6,6.456,135.576,1/17/2019,12:48,Credit card,9.4,Yangon,108.4608,27.1152
679,130-67-4723,A,Member,Male,Food and beverages,48.5,6,14.55,305.55,1/11/2019,13:57,Ewallet,9.4,Yangon,244.44,61.11
1228,389-25-3394,C,Normal,Male,Electronic accessories,11.81,5,2.9525,62.0025,2/17/2019,18:06,Cash,9.4,Naypyitaw,49.602,12.4005
1384,595-86-2894,C,Member,Male,Fashion accessories,96.98,4,19.396,407.316,2/6/2019,17:20,Ewallet,9.4,Naypyitaw,325.8528,81.4632
1406,110-05-6330,C,Normal,Female,Food and beverages,39.43,6,11.829,248.409,3/25/2019,20:18,Credit card,9.4,Naypyitaw,198.7272,49.6818
1572,718-57-9773,C,Normal,Female,Sports and travel,49.33,10,24.665,517.965,2/3/2019,16:40,Credit card,9.4,Naypyitaw,414.372,103.593
1597,788-07-8452,C,Member,Female,Home and lifestyle,24.24,7,8.484,178.164,1/27/2019,17:38,Ewallet,9.4,Naypyitaw,142.5312,35.6328
1805,401-09-4232,C,Member,Male,Home and lifestyle,86.69,5,21.6725,455.1225,2/11/2019,18:38,Ewallet,9.4,Naypyitaw,364.098,91.0245
2183,316-55-4634,B,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,1/26/2019,12:45,Credit card,9.4,Mandalay,336.21,84.0525
2666,133-77-3154,B,Member,Male,Fashion accessories,60.18,4,12.036,252.756,2/16/2019,18:04,Credit card,9.4,Mandalay,202.2048,50.5512
2905,715-20-1673,B,Normal,Male,Electronic accessories,28.38,5,7.095,148.995,3/6/2019,20:57,Cash,9.4,Mandalay,119.196,29.799
98,865-92-6136,A,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,9.3,Yangon,132.93,33.2325
512,595-27-4851,A,Normal,Female,Fashion accessories,54.28,7,18.998,398.958,1/27/2019,18:05,Ewallet,9.3,Yangon,319.1664,79.7916
529,827-77-7633,A,Normal,Male,Sports and travel,98.09,9,44.1405,926.9505,2/17/2019,19:41,Cash,9.3,Yangon,741.5604,185.3901
793,263-12-5321,A,Member,Male,Electronic accessories,92.6,7,32.41,680.61,2/27/2019,12:52,Credit card,9.3,Yangon,544.488,136.122
869,852-82-2749,A,Normal,Male,Sports and travel,64.59,4,12.918,271.278,1/6/2019,13:35,Ewallet,9.3,Yangon,217.0224,54.2556
967,195-06-0432,A,Member,Male,Home and lifestyle,81.01,3,12.1515,255.1815,1/13/2019,12:55,Credit card,9.3,Yangon,204.1452,51.0363
1065,120-06-4233,C,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,3/12/2019,20:36,Cash,9.3,Naypyitaw,154.2744,38.5686
1160,400-89-4171,C,Normal,Female,Sports and travel,80.97,8,32.388,680.148,1/28/2019,13:05,Cash,9.3,Naypyitaw,544.1184,136.0296
1349,416-13-5917,C,Normal,Female,Food and beverages,97.03,5,24.2575,509.4075,1/30/2019,16:24,Ewallet,9.3,Naypyitaw,407.526,101.8815
1362,632-90-0281,C,Normal,Female,Fashion accessories,37.55,10,18.775,394.275,3/8/2019,20:01,Credit card,9.3,Naypyitaw,315.42,78.855
1679,556-41-6224,C,Normal,Male,Health and beauty,33.64,8,13.456,282.576,2/15/2019,17:10,Credit card,9.3,Naypyitaw,226.0608,56.5152
1793,790-38-4466,C,Normal,Female,Health and beauty,10.99,5,2.7475,57.6975,1/23/2019,10:18,Credit card,9.3,Naypyitaw,46.158,11.5395
1922,722-13-2115,C,Member,Male,Sports and travel,42.85,1,2.1425,44.9925,3/14/2019,15:36,Credit card,9.3,Naypyitaw,35.994,8.9985
2672,322-02-2271,B,Normal,Female,Sports and travel,42.97,3,6.4455,135.3555,2/3/2019,11:46,Cash,9.3,Mandalay,108.2844,27.0711
2741,299-29-0180,B,Member,Female,Home and lifestyle,52.18,7,18.263,383.523,3/9/2019,10:54,Cash,9.3,Mandalay,306.8184,76.7046
2962,503-21-4385,B,Member,Male,Health and beauty,39.91,3,5.9865,125.7165,2/21/2019,12:40,Ewallet,9.3,Mandalay,100.5732,25.1433
139,575-30-8091,A,Normal,Male,Sports and travel,72.5,8,29,609,3/16/2019,19:25,Ewallet,9.2,Yangon,487.2,121.8
146,685-64-1609,A,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,12:28,Ewallet,9.2,Yangon,253.176,63.294
414,472-15-9636,A,Normal,Male,Home and lifestyle,50.93,8,20.372,427.812,3/22/2019,19:36,Ewallet,9.2,Yangon,342.2496,85.5624
586,278-86-2735,A,Normal,Female,Food and beverages,52.34,3,7.851,164.871,3/27/2019,14:03,Cash,9.2,Yangon,131.8968,32.9742
620,420-97-3340,A,Normal,Female,Food and beverages,71.68,3,10.752,225.792,3/28/2019,15:30,Credit card,9.2,Yangon,180.6336,45.1584
833,528-14-9470,A,Member,Male,Health and beauty,91.3,1,4.565,95.865,2/14/2019,14:42,Ewallet,9.2,Yangon,76.692,19.173
850,843-73-4724,A,Normal,Male,Fashion accessories,74.1,1,3.705,77.805,1/25/2019,11:05,Cash,9.2,Yangon,62.244,15.561
851,409-33-9708,A,Normal,Female,Fashion accessories,98.48,2,9.848,206.808,2/19/2019,10:12,Ewallet,9.2,Yangon,165.4464,41.3616
1115,861-77-0145,C,Member,Male,Electronic accessories,81.97,10,40.985,860.685,3/3/2019,14:30,Cash,9.2,Naypyitaw,688.548,172.137
1198,286-43-6208,C,Normal,Female,Food and beverages,87.8,9,39.51,829.71,3/16/2019,19:08,Cash,9.2,Naypyitaw,663.768,165.942
1423,186-09-3669,C,Member,Female,Health and beauty,81.51,1,4.0755,85.5855,1/22/2019,10:57,Ewallet,9.2,Naypyitaw,68.4684,17.1171
1604,258-69-7810,C,Normal,Female,Fashion accessories,36.85,5,9.2125,193.4625,1/26/2019,18:53,Cash,9.2,Naypyitaw,154.77,38.6925
1797,400-80-4065,C,Member,Male,Health and beauty,68.55,4,13.71,287.91,2/15/2019,20:21,Credit card,9.2,Naypyitaw,230.328,57.582
1822,477-59-2456,C,Normal,Female,Fashion accessories,45.44,7,15.904,333.984,1/23/2019,11:15,Cash,9.2,Naypyitaw,267.1872,66.7968
2556,841-18-8232,B,Normal,Female,Food and beverages,71.2,1,3.56,74.76,1/5/2019,20:40,Credit card,9.2,Mandalay,59.808,14.952
2715,729-06-2010,B,Member,Male,Health and beauty,80.47,9,36.2115,760.4415,1/6/2019,11:18,Cash,9.2,Mandalay,608.3532,152.0883
0,750-67-8428,A,Normal,Male,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,9.1,Yangon,439.1772,109.7943
284,565-17-3836,A,Member,Female,Health and beauty,47.67,4,9.534,200.214,3/12/2019,14:21,Cash,9.1,Yangon,160.1712,40.0428
331,634-97-8956,A,Normal,Male,Food and beverages,32.9,3,4.935,103.635,2/17/2019,17:27,Credit card,9.1,Yangon,82.908,20.727
335,527-09-6272,A,Member,Female,Electronic accessories,28.45,5,7.1125,149.3625,3/21/2019,10:17,Credit card,9.1,Yangon,119.49,29.8725
374,422-29-8786,A,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,1/3/2019,16:47,Credit card,9.1,Yangon,281.778,70.4445
464,470-32-9057,A,Member,Male,Food and beverages,51.34,5,12.835,269.535,3/28/2019,15:31,Credit card,9.1,Yangon,215.628,53.907
540,460-35-4390,A,Normal,Male,Home and lifestyle,30.68,3,4.602,96.642,1/22/2019,11:00,Ewallet,9.1,Yangon,77.3136,19.3284
710,786-94-2700,A,Member,Male,Food and beverages,80.62,6,24.186,507.906,2/28/2019,20:18,Cash,9.1,Yangon,406.3248,101.5812
1148,338-65-2210,C,Member,Female,Health and beauty,68.6,10,34.3,720.3,2/5/2019,19:57,Cash,9.1,Naypyitaw,576.24,144.06
1367,605-72-4132,C,Normal,Female,Food and beverages,94.47,8,37.788,793.548,2/27/2019,15:12,Cash,9.1,Naypyitaw,634.8384,158.7096
1371,834-25-9262,C,Normal,Female,Fashion accessories,81.68,4,16.336,343.056,1/6/2019,12:12,Cash,9.1,Naypyitaw,274.4448,68.6112
1507,573-98-8548,C,Member,Female,Fashion accessories,31.9,1,1.595,33.495,1/5/2019,12:40,Ewallet,9.1,Naypyitaw,26.796,6.699
1714,760-27-5490,C,Normal,Male,Fashion accessories,15.62,8,6.248,131.208,1/20/2019,20:37,Ewallet,9.1,Naypyitaw,104.9664,26.2416
2637,135-13-8269,B,Member,Female,Food and beverages,78.88,2,7.888,165.648,1/26/2019,16:04,Cash,9.1,Mandalay,132.5184,33.1296
126,870-54-3162,A,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,1/27/2019,13:26,Cash,9,Yangon,135.45,33.8625
155,782-95-9291,A,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2/20/2019,15:55,Credit card,9,Yangon,387.618,96.9045
785,404-91-5964,A,Normal,Male,Electronic accessories,74.58,7,26.103,548.163,2/4/2019,16:09,Credit card,9,Yangon,438.5304,109.6326
807,257-60-7754,A,Normal,Female,Electronic accessories,50.23,4,10.046,210.966,1/8/2019,17:12,Cash,9,Yangon,168.7728,42.1932
1441,751-69-0068,C,Normal,Male,Sports and travel,99.24,9,44.658,937.818,3/19/2019,19:09,Ewallet,9,Naypyitaw,750.2544,187.5636
1508,620-02-2046,C,Normal,Male,Home and lifestyle,69.4,2,6.94,145.74,1/27/2019,19:48,Ewallet,9,Naypyitaw,116.592,29.148
1619,284-54-4231,C,Member,Male,Sports and travel,80.93,1,4.0465,84.9765,1/19/2019,16:08,Credit card,9,Naypyitaw,67.9812,16.9953
1743,137-63-5492,C,Normal,Male,Electronic accessories,58.76,10,29.38,616.98,1/29/2019,14:26,Ewallet,9,Naypyitaw,493.584,123.396
1755,314-23-4520,C,Member,Male,Health and beauty,81.23,7,28.4305,597.0405,1/15/2019,20:44,Cash,9,Naypyitaw,477.6324,119.4081
2267,110-48-7033,B,Member,Male,Fashion accessories,32.62,4,6.524,137.004,1/29/2019,14:12,Cash,9,Mandalay,109.6032,27.4008
2538,286-62-6248,B,Normal,Male,Fashion accessories,39.21,4,7.842,164.682,1/16/2019,20:03,Credit card,9,Mandalay,131.7456,32.9364
2576,514-37-2845,B,Normal,Male,Fashion accessories,99.25,2,9.925,208.425,3/20/2019,13:02,Cash,9,Mandalay,166.74,41.685
2937,226-34-0034,B,Normal,Female,Electronic accessories,13.78,4,2.756,57.876,1/10/2019,11:10,Ewallet,9,Mandalay,46.3008,11.5752
2981,214-30-2776,B,Member,Female,Electronic accessories,34.49,5,8.6225,181.0725,3/11/2019,19:44,Credit card,9,Mandalay,144.858,36.2145
2982,746-04-1077,B,Member,Female,Food and beverages,84.63,10,42.315,888.615,1/1/2019,11:36,Credit card,9,Mandalay,710.892,177.723
254,704-11-6354,A,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,1/6/2019,11:23,Cash,8.9,Yangon,395.808,98.952
426,269-10-8440,A,Member,Male,Health and beauty,53.17,7,18.6095,390.7995,1/21/2019,18:01,Cash,8.9,Yangon,312.6396,78.1599
546,647-50-1224,A,Normal,Female,Fashion accessories,29.42,10,14.71,308.91,1/12/2019,16:23,Ewallet,8.9,Yangon,247.128,61.782
1379,382-25-8917,C,Normal,Male,Fashion accessories,42.08,6,12.624,265.104,1/29/2019,12:25,Cash,8.9,Naypyitaw,212.0832,53.0208
1452,235-46-8343,C,Member,Male,Food and beverages,27.66,10,13.83,290.43,2/14/2019,11:26,Credit card,8.9,Naypyitaw,232.344,58.086
1849,549-23-9016,C,Member,Female,Food and beverages,14.87,2,1.487,31.227,2/13/2019,18:15,Credit card,8.9,Naypyitaw,24.9816,6.2454
2351,374-17-3652,B,Member,Female,Food and beverages,42.82,9,19.269,404.649,2/5/2019,15:26,Credit card,8.9,Mandalay,323.7192,80.9298
2353,433-75-6987,B,Member,Female,Health and beauty,55.97,7,19.5895,411.3795,3/5/2019,19:06,Ewallet,8.9,Mandalay,329.1036,82.2759
2510,401-18-8016,B,Member,Female,Sports and travel,98.13,1,4.9065,103.0365,1/21/2019,17:36,Cash,8.9,Mandalay,82.4292,20.6073
2563,582-52-8065,B,Normal,Female,Fashion accessories,54.31,9,24.4395,513.2295,2/22/2019,10:49,Cash,8.9,Mandalay,410.5836,102.6459
2621,349-97-8902,B,Member,Male,Food and beverages,57.89,2,5.789,121.569,1/17/2019,10:37,Ewallet,8.9,Mandalay,97.2552,24.3138
2717,186-79-9562,B,Normal,Male,Health and beauty,71.77,7,25.1195,527.5095,3/29/2019,14:06,Cash,8.9,Mandalay,422.0076,105.5019
2739,174-64-0215,B,Normal,Male,Sports and travel,69.74,10,34.87,732.27,3/5/2019,17:49,Credit card,8.9,Mandalay,585.816,146.454
2745,438-23-1242,B,Normal,Male,Electronic accessories,75.88,7,26.558,557.718,1/24/2019,10:38,Ewallet,8.9,Mandalay,446.1744,111.5436
2906,811-35-1094,B,Member,Male,Electronic accessories,50.45,6,15.135,317.835,2/6/2019,15:16,Credit card,8.9,Mandalay,254.268,63.567
2961,365-16-4334,B,Normal,Female,Food and beverages,26.43,8,10.572,222.012,2/24/2019,14:26,Ewallet,8.9,Mandalay,177.6096,44.4024
